Nº,Bairro,R.A,Região,IDS
1,Lagoa,Lagoa,Zona Sul,0.854
2,Leblon,Lagoa,Zona Sul,"0,809"
3,Ipanema,Lagoa,Zona Sul,"0,801"
4,Humaitá,Botafogo,Zona Sul,"0,798"
5,Urca,Botafogo,Zona Sul,"0,795"
6,Barra da Tijuca,Barra da Tijuca,Zona Oeste,"0,795"
7,Jardim Botânico,Lagoa,Zona Sul,"0,787"
8,São Conrado,Lagoa,Zona Sul,"0,787"
9,Gávea,Lagoa,Zona Sul,"0,787"
10,Laranjeiras,Botafogo,Zona Sul,"0,779"
11,Flamengo,Botafogo,Zona Sul,"0,775"
12,Leme,Copacabana,Zona Sul,"0,761"
13,Maracanâ,Vila Isabel,Zona Norte,"0,758"
14,Copacabana,Copacabana,Zona Sul,"0,753"
15,Jardim Guanabara,Ilha do Governador,Zona Norte,"0,745"
16,Botafogo,Botafogo,Zona Sul,"0,743"
17,Campo dos Afonsos,Realengo,Zona Oeste,"0,730"
18,Tijuca,Tijuca,Zona Norte,"0,729"
19,Grajaú,Vila Isabel,Zona Norte,"0,725"
20,Méier,Méier,Zona Norte,"0,719"
21,Moneró,Ilha do Governador,Zona Norte,"0,715"
22,Cosme Velho,Botafogo,Zona Sul,"0,713"
23,Joá,Barra da Tijuca,Zona Oeste,"0,713"
24,Todos os Santos,Méier,Zona Norte,"0,701"
25,Glória,Botafogo,Zona Sul,"0,700"
26,Andaraí,Vila Isabel,Zona Norte,"0,696"
27,Ribeira,Ilha do Governador,Zona Norte,"0,686"
28,Vila Isabel,Vila Isabel,Zona Norte,"0,687"
29,Zumbi,Ilha do Governador,Zona Norte,"0,684"
30,Rocha,Méier,Zona Norte,"0,683"
31,Praça da Bandeira,Tijuca,Zona Norte,"0,679"
32,Cachambi,Méier,Zona Norte,"0,670"
33,Riachuelo,Méier,Zona Norte,"0,669"
34,Cocotá,Ilha do Governador,Zona Norte,"0,668"
35,Vila Valqueire,Jacarepaguá,Zona Oeste,"0,665"
36,Vila da Penha,Irajá,Zona Norte,"0,663"
37,Catete,Botafogo,Zona Sul,"0,663"
38,Pechincha,Jacarepaguá,Zona Oeste,"0,662"
39,Freguesia (Jacarepaguá),Jacarepaguá,Zona Oeste,"0,651"
40,Praia da Bandeira,Ilha do Governador,Zona Norte,"0,650"
41,Maria da Graça,Inhaúma,Zona Norte,"0,648"
42,São Francisco Xavier,Méier,Zona Norte,"0,638"
43,Anil,Jacarepaguá,Zona Oeste,"0,635"
44,Higienópolis,Inhaúma,Zona Norte,"0,631"
45,Vista Alegre,Irajá,Zona Norte,"0,629"
46,Portuguesa,Ilha do Governador,Zona Norte,"0,629"
47,Centro,Centro,Zona Central,"0,629"
48,Jardim Sulacap,Realengo,Zona Oeste,"0,628"
49,Abolição,Méier,Zona Norte,"0,628"
50,Rio Comprido,Rio Comprido,Zona Norte,"0,625"
51,Engenho Novo,Méier,Zona Norte,"0,618"
52,Freguesia (Ilha do Governador),Ilha do Governador,Zona Norte,"0,615"
53,Encantado,Méier,Zona Norte,"0,615"
54,Bonsucesso,Ramos,Zona Norte,"0,615"
55,Lins de Vasconcellos,Méier,Zona Norte,"0,612"
56,Recreio dos Bandeirantes,Barra da Tijuca,Zona Oeste,"0,612"
57,Vila Cosmos,Irajá,Zona Norte,"0,610"
58,Engenho de Dentro,Méier,Zona Norte,"0,610"
59,Ramos,Ramos,Zona Norte,"0,610"
60,Santa Teresa,Santa Teresa,Zona Sul,"0,608"
61,Taquara,Jacarepaguá,Zona Oeste,"0,608"
62,Irajá,Irajá,Zona Norte,"0,606"
63,Quintino Bocaiúva,Madureira,Zona Norte,"0,605"
64,Água Santa,Méier,Zona Norte,"0,604"
65,Olaria,Ramos,Zona Norte,"0,603"
66,Piedade,Méier,Zona Norte,"0,602"
67,Jardim Carioca,Ilha do Governador,Zona Norte,"0,601"
68,Bancários,Ilha do Governador,Zona Norte,"0,600"
69,Praça Seca,Jacarepaguá,Zona Oeste,"0,598"
70,Saúde,Portuária,Zona Central,"0,598"
71,Tanque,Jacarepaguá,Zona Oeste,"0,595"
72,Vila Militar,Realengo,Zona Oeste,"0,594"
73,Campinho,Madureira,Zona Norte,"0,594"
74,São Cristóvão,São Cristóvão,Zona Central,"0,594"
75,Paquetá,Paquetá,Zona Central,"0,594"
76,Penha Circular,Penha,Zona Norte,"0,593"
77,Oswaldo Cruz,Madureira,Zona Norte,"0,591"
