,ano,sigla_partido,bairro,n_filiados
0,1998,CIDADANIA,Abolição,1
1,1998,CIDADANIA,Alto da Boa Vista,5
2,1998,CIDADANIA,Anchieta,16
3,1998,CIDADANIA,Andaraí,20
4,1998,CIDADANIA,Anil,7
5,1998,CIDADANIA,Bancários,44
6,1998,CIDADANIA,Bangu,157
7,1998,CIDADANIA,Barra da Tijuca,23
8,1998,CIDADANIA,Barros Filho,83
9,1998,CIDADANIA,Benfica,6
10,1998,CIDADANIA,Bento Ribeiro,9
11,1998,CIDADANIA,Bonsucesso,11
12,1998,CIDADANIA,Botafogo,25
13,1998,CIDADANIA,Brás de Pina,9
14,1998,CIDADANIA,Cachambi,3
15,1998,CIDADANIA,Cacuia,6
16,1998,CIDADANIA,Caju,3
17,1998,CIDADANIA,Campinho,2
18,1998,CIDADANIA,Campo Grande,36
19,1998,CIDADANIA,Campo dos Afonsos,1
20,1998,CIDADANIA,Cascadura,1
21,1998,CIDADANIA,Catete,2
22,1998,CIDADANIA,Cavalcanti,1
23,1998,CIDADANIA,Centro,46
24,1998,CIDADANIA,Cidade Nova,2
25,1998,CIDADANIA,Cidade de Deus,2
26,1998,CIDADANIA,Cocotá,25
27,1998,CIDADANIA,Coelho Neto,17
28,1998,CIDADANIA,Colégio,2
29,1998,CIDADANIA,Complexo do Alemão,4
30,1998,CIDADANIA,Copacabana,38
31,1998,CIDADANIA,Cordovil,13
32,1998,CIDADANIA,Cosmos,6
33,1998,CIDADANIA,Costa Barros,31
34,1998,CIDADANIA,Curicica,3
35,1998,CIDADANIA,Deodoro,20
36,1998,CIDADANIA,Encantado,1
37,1998,CIDADANIA,Engenho Novo,3
38,1998,CIDADANIA,Engenho da Rainha,3
39,1998,CIDADANIA,Engenho de Dentro,33
40,1998,CIDADANIA,Flamengo,16
41,1998,CIDADANIA,Freguesia (Ilha),43
42,1998,CIDADANIA,Freguesia (Jacarepaguá),45
43,1998,CIDADANIA,Galeão,12
44,1998,CIDADANIA,Gamboa,31
45,1998,CIDADANIA,Gardênia Azul,1
46,1998,CIDADANIA,Glória,11
47,1998,CIDADANIA,Grajaú,8
48,1998,CIDADANIA,Guadalupe,28
49,1998,CIDADANIA,Guaratiba,7
50,1998,CIDADANIA,Gávea,11
51,1998,CIDADANIA,Higienópolis,2
52,1998,CIDADANIA,Honório Gurgel,36
53,1998,CIDADANIA,Humaitá,5
54,1998,CIDADANIA,Inhaúma,4
55,1998,CIDADANIA,Inhoaíba,5
56,1998,CIDADANIA,Ipanema,12
57,1998,CIDADANIA,Irajá,19
58,1998,CIDADANIA,Itanhangá,2
59,1998,CIDADANIA,Jacarepaguá,11
60,1998,CIDADANIA,Jacaré,2
61,1998,CIDADANIA,Jardim América,2
62,1998,CIDADANIA,Jardim Botânico,42
63,1998,CIDADANIA,Jardim Carioca,34
64,1998,CIDADANIA,Jardim Guanabara,11
65,1998,CIDADANIA,Jardim Sulacap,2
66,1998,CIDADANIA,Lagoa,6
67,1998,CIDADANIA,Lapa,1
68,1998,CIDADANIA,Laranjeiras,11
69,1998,CIDADANIA,Leblon,13
70,1998,CIDADANIA,Leme,2
71,1998,CIDADANIA,Madureira,29
72,1998,CIDADANIA,Magalhães Bastos,5
73,1998,CIDADANIA,Maracanã,3
74,1998,CIDADANIA,Marechal Hermes,19
75,1998,CIDADANIA,Maré,24
76,1998,CIDADANIA,Moneró,14
77,1998,CIDADANIA,Méier,23
78,1998,CIDADANIA,Olaria,8
79,1998,CIDADANIA,Osvaldo Cruz,24
80,1998,CIDADANIA,Paciência,7
81,1998,CIDADANIA,Padre Miguel,51
82,1998,CIDADANIA,Parada de Lucas,2
83,1998,CIDADANIA,Parque Anchieta,80
84,1998,CIDADANIA,Parque Colúmbia,1
85,1998,CIDADANIA,Pavuna,55
86,1998,CIDADANIA,Pechincha,1
87,1998,CIDADANIA,Pedra de Guaratiba,1
88,1998,CIDADANIA,Penha,13
89,1998,CIDADANIA,Penha Circular,15
90,1998,CIDADANIA,Piedade,9
91,1998,CIDADANIA,Pilares,6
92,1998,CIDADANIA,Portuguesa,13
93,1998,CIDADANIA,Praia da Bandeira,6
94,1998,CIDADANIA,Praça Seca,24
95,1998,CIDADANIA,Quintino Bocaiúva,12
96,1998,CIDADANIA,Ramos,9
97,1998,CIDADANIA,Realengo,29
98,1998,CIDADANIA,Recreio dos Bandeirantes,13
99,1998,CIDADANIA,Riachuelo,2
100,1998,CIDADANIA,Ribeira,28
101,1998,CIDADANIA,Ricardo de Albuquerque,7
102,1998,CIDADANIA,Rio Comprido,11
103,1998,CIDADANIA,Rocha,2
104,1998,CIDADANIA,Rocha Miranda,12
105,1998,CIDADANIA,Rocinha,1
106,1998,CIDADANIA,Santa Cruz,51
107,1998,CIDADANIA,Santa Teresa,19
108,1998,CIDADANIA,Santo Cristo,10
109,1998,CIDADANIA,Santíssimo,13
110,1998,CIDADANIA,Saúde,28
111,1998,CIDADANIA,Senador Camará,13
112,1998,CIDADANIA,Senador Vasconcelos,10
113,1998,CIDADANIA,Sepetiba,11
114,1998,CIDADANIA,São Conrado,7
115,1998,CIDADANIA,São Cristóvão,13
116,1998,CIDADANIA,Tanque,9
117,1998,CIDADANIA,Taquara,21
118,1998,CIDADANIA,Tauá,12
119,1998,CIDADANIA,Tijuca,46
120,1998,CIDADANIA,Todos os Santos,7
121,1998,CIDADANIA,Tomás Coelho,5
122,1998,CIDADANIA,Turiaçú,4
123,1998,CIDADANIA,Urca,2
124,1998,CIDADANIA,Vargem Grande,13
125,1998,CIDADANIA,Vargem Pequena,4
126,1998,CIDADANIA,Vasco da Gama,14
127,1998,CIDADANIA,Vaz Lobo,3
128,1998,CIDADANIA,Vicente de Carvalho,4
129,1998,CIDADANIA,Vidigal,9
130,1998,CIDADANIA,Vigário Geral,5
131,1998,CIDADANIA,Vila Isabel,31
132,1998,CIDADANIA,Vila Kosmos,3
133,1998,CIDADANIA,Vila Militar,1
134,1998,CIDADANIA,Vila Valqueire,8
135,1998,CIDADANIA,Vila da Penha,2
136,1998,CIDADANIA,Zumbi,11
137,1998,CIDADANIA,nao informado,176
138,1998,DC,Andaraí,1
139,1998,DC,Bangu,147
140,1998,DC,Barra da Tijuca,7
141,1998,DC,Barra de Guaratiba,1
142,1998,DC,Benfica,4
143,1998,DC,Bento Ribeiro,1
144,1998,DC,Bonsucesso,1
145,1998,DC,Botafogo,1
146,1998,DC,Brás de Pina,2
147,1998,DC,Cachambi,5
148,1998,DC,Caju,3
149,1998,DC,Campinho,1
150,1998,DC,Campo Grande,153
151,1998,DC,Campo dos Afonsos,1
152,1998,DC,Cascadura,13
153,1998,DC,Catete,3
154,1998,DC,Centro,4
155,1998,DC,Cidade de Deus,1
156,1998,DC,Cocotá,1
157,1998,DC,Colégio,2
158,1998,DC,Complexo do Alemão,2
159,1998,DC,Copacabana,16
160,1998,DC,Cordovil,2
161,1998,DC,Cosmos,4
162,1998,DC,Curicica,2
163,1998,DC,Del Castilho,1
164,1998,DC,Deodoro,1
165,1998,DC,Encantado,2
166,1998,DC,Engenheiro Leal,5
167,1998,DC,Engenho da Rainha,2
168,1998,DC,Engenho de Dentro,3
169,1998,DC,Flamengo,1
170,1998,DC,Freguesia (Ilha),1
171,1998,DC,Freguesia (Jacarepaguá),12
172,1998,DC,Gardênia Azul,2
173,1998,DC,Glória,1
174,1998,DC,Grajaú,2
175,1998,DC,Guadalupe,3
176,1998,DC,Guaratiba,22
177,1998,DC,Gávea,1
178,1998,DC,Higienópolis,1
179,1998,DC,Inhaúma,5
180,1998,DC,Inhoaíba,9
181,1998,DC,Ipanema,2
182,1998,DC,Irajá,4
183,1998,DC,Jacarepaguá,2
184,1998,DC,Jacaré,1
185,1998,DC,Jardim América,2
186,1998,DC,Jardim Guanabara,9
187,1998,DC,Laranjeiras,3
188,1998,DC,Lins de Vasconcelos,1
189,1998,DC,Madureira,10
190,1998,DC,Manguinhos,1
191,1998,DC,Marechal Hermes,1
192,1998,DC,Maria da Graça,1
193,1998,DC,Maré,3
194,1998,DC,Méier,2
195,1998,DC,Olaria,1
196,1998,DC,Paciência,24
