Nome,Fernandes (1995)[31][32],Coppedge (1997)[31][32],O Globo (2016)[33],BBC Brasil (2017)[34],Claudio Couto (2018)[35],Folha de S.Paulo (2018)[36],Congresso em Foco (2019)[37]
Avante,—,desconhecido,centro,esquerda conservadora,—,centro fisiológico,centro
Cidadania,esquerda,secular de esquerda,centro-esquerda,direita progressista,centro,esquerda trabalhista,esquerda
DC,—,secular de centro-direita,centro,—,—,centro fisiológico,direita
DEM,direita,secular de direita,centro,direita conservadora,direita,"""direita que virou centro""",direita
MDB,centro,secular de centro,centro,direita conservadora,centro-direita,centro-esquerda liberal,centro
NOVO,—,—,centro-direita,—,direita,—,direita
Patriota,—,—,centro,direita progressista,direita,centro fisiológico,direita
PCB,—,—,esquerda,—,extrema-esquerda,—,—
PCdoB,esquerda,secular de esquerda,—,esquerda progressista,esquerda,esquerda trabalhista,esquerda
PCO,—,—,esquerda,—,extrema-esquerda,—,—
PDT,esquerda,secular de centro-esquerda,centro-esquerda,esquerda conservadora,centro-esquerda,esquerda trabalhista,esquerda
PL,direita,secular de direita,—,direita conservadora,centro-direita,centro fisiológico,direita
PMB,—,—,centro,—,—,—,direita
PMN,esquerda,desconhecido,—,—,—,esquerda trabalhista,esquerda
PODE,—,—,centro,direita conservadora,—,centro fisiológico,direita
PP,direita/centro,secular de direita/secular de centro-direita,direita,direita conservadora,direita,"""direita que virou centro""",direita
PROS,—,—,centro-esquerda,esquerda progressista,—,centro fisiológico,centro
PRTB,—,—,—,—,direita,centro fisiológico,direita
PSB,esquerda,secular de esquerda,centro-esquerda,esquerda progressista,centro-esquerda,esquerda trabalhista,esquerda
PSC,direita,cristão de centro,centro-direita,direita conservadora,extrema-direita,centro fisiológico,direita
PSD,—,—,centro,direita conservadora,centro-direita,centro fisiológico,direita
PSDB,centro,secular de centro-esquerda,—,direita conservadora,centro-direita,centro-esquerda liberal,centro
PSL,—,—,centro,direita conservadora,extrema-direita,centro fisiológico,direita
PSOL,—,—,esquerda,esquerda progressista,esquerda radical,esquerda trabalhista,esquerda
PSTU,—,—,esquerda,—,extrema-esquerda,esquerda trabalhista,—
PT,esquerda,secular de esquerda,esquerda,esquerda progressista,esquerda,esquerda trabalhista,esquerda
PTB,direita,—,—,direita conservadora,direita,centro fisiológico,direita
PTC,—,personalista,centro,—,—,centro fisiológico,direita
PV,esquerda,outro,centro,direita progressista,centro,centro-esquerda liberal,esquerda
REDE,—,—,—,esquerda progressista,centro-esquerda,centro-esquerda liberal,esquerda
Republicanos,—,—,centro-direita,direita conservadora,direita,centro fisiológico,direita
Solidariedade,—,—,—,—,—,centro fisiológico,centro
UP,—,—,—,—,—,—,—
