ano,zona,sigla_partido,cargo,turno,votos_nominais,votos_nao_nominais
1998,1,PAN,deputado estadual,1,2,13
1998,1,PC do B,deputado estadual,1,125,31
1998,1,PCB,deputado estadual,1,16,37
1998,1,PDT,deputado estadual,1,2387,1138
1998,1,PFL,deputado estadual,1,2513,735
1998,1,PGT,deputado estadual,1,9,0
1998,1,PL,deputado estadual,1,186,48
1998,1,PMDB,deputado estadual,1,774,103
1998,1,PMN,deputado estadual,1,167,20
1998,1,PPB,deputado estadual,1,1543,320
1998,1,PPS,deputado estadual,1,230,165
1998,1,PRN,deputado estadual,1,12,7
1998,1,PRONA,deputado estadual,1,191,257
1998,1,PRP,deputado estadual,1,193,29
1998,1,PRTB,deputado estadual,1,263,18
1998,1,PSB,deputado estadual,1,494,132
1998,1,PSC,deputado estadual,1,485,44
1998,1,PSD,deputado estadual,1,143,31
1998,1,PSDB,deputado estadual,1,3821,886
1998,1,PSDC,deputado estadual,1,191,24
1998,1,PSL,deputado estadual,1,24,11
1998,1,PSN,deputado estadual,1,23,15
1998,1,PST,deputado estadual,1,148,8
1998,1,PSTU,deputado estadual,1,36,34
1998,1,PT,deputado estadual,1,2612,1335
1998,1,PT do B,deputado estadual,1,345,42
1998,1,PTB,deputado estadual,1,363,78
1998,1,PTN,deputado estadual,1,120,21
1998,1,PV,deputado estadual,1,21,34
1998,1,PAN,deputado federal,1,6,17
1998,1,PC do B,deputado federal,1,431,62
1998,1,PCB,deputado federal,1,41,36
1998,1,PDT,deputado federal,1,3169,1051
1998,1,PFL,deputado federal,1,3469,516
1998,1,PGT,deputado federal,1,1,6
1998,1,PL,deputado federal,1,267,52
1998,1,PMDB,deputado federal,1,308,98
1998,1,PMN,deputado federal,1,60,14
1998,1,PPB,deputado federal,1,2664,274
1998,1,PPS,deputado federal,1,236,257
1998,1,PRN,deputado federal,1,13,9
1998,1,PRONA,deputado federal,1,63,288
1998,1,PRP,deputado federal,1,121,27
1998,1,PRTB,deputado federal,1,31,23
1998,1,PSB,deputado federal,1,481,107
1998,1,PSC,deputado federal,1,326,37
1998,1,PSD,deputado federal,1,29,27
1998,1,PSDB,deputado federal,1,1912,1064
1998,1,PSDC,deputado federal,1,65,20
1998,1,PSL,deputado federal,1,75,10
1998,1,PSN,deputado federal,1,20,17
1998,1,PST,deputado federal,1,1,9
1998,1,PSTU,deputado federal,1,349,53
1998,1,PT,deputado federal,1,2139,1448
1998,1,PT do B,deputado federal,1,314,16
1998,1,PTB,deputado federal,1,436,59
1998,1,PTN,deputado federal,1,42,35
1998,1,PV,deputado federal,1,151,30
1998,1,PDT,governador,1,9953,0
1998,1,PFL,governador,1,8449,0
1998,1,PPS,governador,1,336,0
1998,1,PRONA,governador,1,222,0
1998,1,PRTB,governador,1,42,0
1998,1,PSDB,governador,1,2410,0
1998,1,PSDC,governador,1,18,0
1998,1,PSL,governador,1,7,0
1998,1,PSN,governador,1,6,0
1998,1,PST,governador,1,14,0
1998,1,PSTU,governador,1,67,0
1998,1,PT do B,governador,1,25,0
1998,1,PV,governador,1,87,0
1998,1,PMN,presidente,1,43,0
1998,1,PPS,presidente,1,2668,0
1998,1,PRONA,presidente,1,786,0
1998,1,PSC,presidente,1,21,0
1998,1,PSDB,presidente,1,7872,0
1998,1,PSDC,presidente,1,33,0
1998,1,PSN,presidente,1,11,0
1998,1,PSTU,presidente,1,20,0
1998,1,PT,presidente,1,10295,0
1998,1,PT do B,presidente,1,49,0
1998,1,PTN,presidente,1,77,0
1998,1,PV,presidente,1,44,0
1998,1,PAN,senador,1,18,0
1998,1,PMDB,senador,1,1626,0
1998,1,PPB,senador,1,6909,0
1998,1,PPS,senador,1,2548,0
1998,1,PRN,senador,1,35,0
1998,1,PRONA,senador,1,370,0
1998,1,PRP,senador,1,46,0
1998,1,PRTB,senador,1,65,0
1998,1,PSB,senador,1,8231,0
1998,1,PSC,senador,1,38,0
1998,1,PSDC,senador,1,33,0
1998,1,PSTU,senador,1,71,0
1998,1,PT do B,senador,1,117,0
1998,1,PTN,senador,1,29,0
1998,2,PAN,deputado estadual,1,5,25
1998,2,PC do B,deputado estadual,1,249,58
1998,2,PCB,deputado estadual,1,10,40
1998,2,PDT,deputado estadual,1,2991,1429
1998,2,PFL,deputado estadual,1,4524,1526
1998,2,PGT,deputado estadual,1,16,5
1998,2,PL,deputado estadual,1,253,86
