id,endereco_tse,cep,bairro,nome_municipio,uf,municipio_id,latitude,longitude
19-0001,"RUA SACADURA CABRAL, 226",20221161,SAUDE,RIO DE JANEIRO,RJ,3304557,-22.896589614811244,-43.19035712958446
19-0002,RUA SACADURA CABRAL 226 FUNDOS SOBRADO,20221161,SAUDE,RIO DE JANEIRO,RJ,3304557,-22.896589614811244,-43.19035712958446
19-0003,"RUA CONDE DE BAEPENDI, 40",22231140,LARANJEIRAS,RIO DE JANEIRO,RJ,3304557,-22.93283853809176,-43.181063612422115
19-0004,RUA JARDIM BOTÂNICO 1060,22460000,JARDIM BOTÂNICO,RIO DE JANEIRO,RJ,3304557,-22.96463757406774,-43.219025272110954
19-0005,RUA MIGUEL LEMOS 97 -  TERREO,22071000,COPACABANA,RIO DE JANEIRO,RJ,3304557,-22.977268289826437,-43.19275208089392
19-0006,AV. PROF. MANOEL DE ABREU 286,20550170,MARACANÃ,RIO DE JANEIRO,RJ,3304557,-22.914207707511306,-43.23432783571392
19-0007,RUA ANTONIO BASILIO 76,20511190,TIJUCA,RIO DE JANEIRO,RJ,3304557,-22.926214350837025,-43.23723871424081
19-0008,RUA 24 DE MAIO 931 - FUNDOS,20950091,ENGENHO NOVO,RIO DE JANEIRO,RJ,3304557,-22.902343163177612,-43.26093339087249
19-0009,AV AYRTON SENNA 2001 BLOCO C,22775002,BARRA,RIO DE JANEIRO,RJ,3304557,-22.990040002676885,-43.36746024430989
19-0010,RUA ASSIS CARNEIRO 436,20740260,PIEDADE,RIO DE JANEIRO,RJ,3304557,-22.89279578595269,-43.311592375614
19-0011,"RUA FILOMENA NUNES, 961",21021380,OLARIA,RIO DE JANEIRO,RJ,3304557,-22.840450987967333,-43.2633633179579
19-0012,AV. DOM HELDER CAMARA 10121 - TERCEIRO ANDAR,21380001,CASCADURA,RIO DE JANEIRO,RJ,-22.88246460313151,-43.323540029584773304557,
19-0013,AV. AYRTON SENNA 2001 BLOCO C - FRENTE,22775002,BARRA,RIO DE JANEIRO,RJ,3304557,-22.990040002676885,-43.36746024430989
19-0014,RUA GETULIO 127,20775000,TODOS OS SANTOS,RIO DE JANEIRO,RJ,3304557,-22.89254127151352,-43.27877026425329
19-0015,RUA JOAO VICENTE 1545,21610210,MARECHAL HERMES,RIO DE JANEIRO,RJ,3304557-22.860649219611894, -43.37127587561445
